Question ,Week,Day,Exercise
"In the Retail Gasoline exercise, we have projected the gasoline prices for the next 15 years by using the past gasoline prices and Autofill function. How exactly did Excel project the future gasoline prices?",1,8,Retail Gasoline
"In the Alex Processing exercise, why is it that we cannot merely project the number of equipment holding using past equipment holding and Autofill?",1,10,Alex Processing
"In the Alex Processing exercise, we used the TREND() function and past 10 years productivity to forecast the next 10 years' productivity of the machines. Why is it that we did not include the forecasted 11th year productivity when we forecast for the 12th year productivity?",1,12,Alex Processing
"In the Alex Processing exercise, we managed to forecast the next 10 years' productivity using linear trend provided by the TREND() function. Is this realistic? If not, how would you modify the approach?",1,14,Alex Processing
"In the F1 Night City Race exercise, the influence diagram allows us to picture the connection from the Profit (performance measure) to the Room Rate (input). The Other Revenue was assumed to be a fixed input parameter forming part of the Total Revenue. However, it is possible that Other Revenue is not a fixed value. How would you modify the influence diagram? ",2,15,F1 Night City Race
"In the F1 Night City Race exercise, we only considered the Room Revenue in our final model. If there is Other Revenue associated with each room sold, how would you modify the model?",2,16,F1 Night City Race
"In the F1 Night City Race exercise, the Trade-Off Analysis Profit curve displayed a quadratic relationship giving us two break-even Room Rates. If you were the hotel manager, which Room Rate would you choose to break-even, and why?",2,17,F1 Night City Race
"In the F1 Night City Race exercise, the price-demand sensitivity curves (lines) were constructed based on Room Occupancy increase/decrease based on decrease/increase of Room Rate. In real business situation, how would one obtain such price-demand sensitivity data?",2,18,F1 Night City Race
"In the F1 Night City Race exercise, we used Solver to determine the best room rate to set by maximizing the profit. However, if we choose to maximize the profit margin instead, the best room rate will be a different answer. Why?",2,19,F1 Night City Race
"In the F1 Night City Race exercise, we performed Sensitivity Analysis and observed that at room rates higher than $400, the profit can vary over a very large range as the room rate increases. How can one use this information in decision making for the hotel business during the F1 season?",2,20,F1 Night City Race
"In the Village Coffee exercise, net profit is computed for different coffee prices and different number of months of upkeep. We highlighted regions where maximum net profits can be achieved. When coffee price is $0.95, we obtained the same net profit of $10,000 for zero month of upkeep and one month of upkeep. Which decision would you choose and why?",2,21,Village Coffee
Both PV() and NPV() functions compute the present value of cash flows. When do I use which function and what are the differences?,3,22,Time Value
"In the Time Value exercise, we completed five small examples to compute the PMT, PV, FV, Rate and Nper, knowing 3 or 4 of the others. When do we use Goal Seek to determine the answer we want?",3,24,Time Value
